Features,AIC,BIC,R2,Adjusted R2,MSE,SSE,Mallows Cp
['RPM'],-39.397109432511236,-37.405644885403255,0.9911705477753914,0.990680022651802,0.11419412000876009,2.2838824001752016,0.45677648003504023
['Load'],-39.05247266912475,-37.061008122016766,0.9910170816290873,0.9905180306084811,0.11617894659624425,2.323578931924885,0.4647157863849771
['Coolant'],54.27689709047031,56.26836163757829,0.04492172246924697,-0.008138181838017067,12.352331794506192,247.04663589012384,49.40932717802477
['Ambient'],54.16693442870468,56.15839897581266,0.050158460615223,-0.002610513795042513,12.284603390853997,245.69206781707993,49.13841356341601
['Throttle'],-36.6077228386048,-34.61625829149682,0.9898491006581727,0.9892851618058489,0.13128481678701776,2.625696335740355,0.525139267148071
['Pressure'],-39.73416818238379,-37.74270363527581,0.9913181031189537,0.9908357755144511,0.11228573971720242,2.2457147943440483,0.44914295886880984
"['RPM', 'Load']",-62.1518340334365,-59.16463721277453,0.9974391051532445,0.9971378234065674,0.03312086933832159,0.6624173867664318,0.19872521602992954
"['RPM', 'Coolant']",-37.54436387674372,-34.55716705608175,0.9912353178447909,0.9902041787677075,0.11335642805575666,2.267128561115133,0.6801385683345402
"['RPM', 'Ambient']",-38.40193546260592,-35.41473864194395,0.9916031916486968,0.9906153318426612,0.10859859889006618,2.1719719778013236,0.6515915933403971
"['RPM', 'Throttle']",-39.860271613852966,-36.873074793190995,0.992193670586501,0.9912752788907953,0.10096174657228266,2.019234931445653,0.605770479433696
"['RPM', 'Pressure']",-52.590203867211194,-49.60300704654922,0.9958693356432347,0.995383375130674,0.05342319877530921,1.0684639755061842,0.32053919265185526
"['Load', 'Coolant']",-37.761926758215914,-34.77472993755394,0.9913301446152979,0.9903101616288623,0.11213000320675567,2.2426000641351136,0.672780019240534
"['Load', 'Ambient']",-37.113802246276634,-34.12660542561466,0.9910445853669837,0.9899910071748641,0.11582323198721389,2.316464639744278,0.6949393919232834
"['Load', 'Throttle']",-60.401868896343004,-57.41467207568103,0.9972049360016638,0.996876104943036,0.03614945361713086,0.7229890723426171,0.21689672170278518
"['Load', 'Pressure']",-48.86171614515642,-45.87451932449445,0.9950228241024218,0.9944372739968244,0.06437140235819636,1.2874280471639272,0.3862284141491781
"['Coolant', 'Ambient']",55.58138579445804,58.568582615120015,0.07756423844263194,-0.030957615858234977,11.930155730620436,238.60311461240872,71.58093438372259
"['Coolant', 'Throttle']",-35.89125284212991,-32.90405602146794,0.9904800860824096,0.9893600962097518,0.1231240811687582,2.462481623375164,0.7387444870125495
"['Coolant', 'Pressure']",-39.25322492230834,-36.26602810164637,0.9919530977598376,0.9910064033786421,0.10407315162210858,2.0814630324421715,0.6244389097326515
"['Ambient', 'Throttle']",-34.70247041658456,-31.71527359592259,0.9898970755870884,0.9887084962443929,0.13066434173934308,2.6132868347868614,0.7839860504360585
"['Ambient', 'Pressure']",-37.768569525388585,-34.781372704726614,0.9913330237286765,0.9903133794614619,0.11209276671571286,2.2418553343142573,0.6725566002942771
"['Throttle', 'Pressure']",-63.10874160303385,-60.12154478237188,0.9975587471553597,0.9972715409383432,0.031573501189076196,0.631470023781524,0.1894410071344571
"['RPM', 'Load', 'Coolant']",-60.246103535443666,-56.263174441227704,0.997451147464477,0.9969732376140665,0.03296512228866406,0.6593024457732811,0.2637209783093125
"['RPM', 'Load', 'Ambient']",-60.86448425436237,-56.881555160146405,0.9975287496530905,0.997065390213045,0.03196146844762951,0.6392293689525902,0.2556917475810361
"['RPM', 'Load', 'Throttle']",-62.7245368903198,-58.741607796103835,0.9977482186725325,0.9973260096736324,0.029123005663435026,0.5824601132687005,0.23298404530748018
"['RPM', 'Load', 'Pressure']",-64.40241597483822,-60.41948688062226,0.9979294223012624,0.997541188982749,0.026779441374415902,0.535588827488318,0.21423553099532722
"['RPM', 'Coolant', 'Ambient']",-36.44667727639412,-32.46374818217816,0.991621955074912,0.990051071651458,0.10835592551798331,2.1671185103596664,0.8668474041438663
"['RPM', 'Coolant', 'Throttle']",-38.489907486316326,-34.506978392100365,0.9924355996761516,0.99101727461543,0.0978328005409351,1.9566560108187019,0.7826624043274806
"['RPM', 'Coolant', 'Pressure']",-50.90585251192451,-46.922923417708546,0.9959340158256682,0.995171643792981,0.0525866693590881,1.051733387181762,0.42069335487270476
"['RPM', 'Ambient', 'Throttle']",-38.15800311774606,-34.1750740235301,0.9923090193917803,0.9908669605277391,0.09946990370617458,1.9893980741234916,0.7957592296493965
"['RPM', 'Ambient', 'Pressure']",-51.4907611160139,-47.50783202179794,0.9960512053012233,0.9953108062952026,0.051071020517589126,1.0214204103517825,0.40856816414071306
"['RPM', 'Throttle', 'Pressure']",-61.226185375781355,-57.243256281565394,0.9975730406444698,0.997117985765308,0.031388638938366194,0.6277727787673238,0.2511091115069296
"['Load', 'Coolant', 'Ambient']",-35.77014823538339,-31.787219141167427,0.9913337078337793,0.9897087780526129,0.11208391896636025,2.241678379327205,0.8966713517308817
"['Load', 'Coolant', 'Throttle']",-58.53719726619627,-54.55426817198031,0.9972237847332726,0.9967032443707612,0.035905676963202834,0.7181135392640566,0.28724541570562256
"['Load', 'Coolant', 'Pressure']",-48.681732524543435,-44.69880343032747,0.9954557539768499,0.9946037078475093,0.058772182295820374,1.1754436459164075,0.470177458366563
"['Load', 'Ambient', 'Throttle']",-58.549119868890585,-54.566190774674624,0.9972254392256581,0.996705209080469,0.035884278885810784,0.7176855777162157,0.2870742310864862
"['Load', 'Ambient', 'Pressure']",-46.86204166576619,-42.87911257155023,0.9950229051104292,0.9940896998186347,0.06437035465581525,1.287407093116305,0.514962837246522
"['Load', 'Throttle', 'Pressure']",-72.6952662551535,-68.71233716093754,0.9986322252682858,0.9983757675060894,0.017689866583456587,0.35379733166913174,0.1415189326676527
"['Coolant', 'Ambient', 'Throttle']",-34.18350161358677,-30.20057251937081,0.9906181838102179,0.9888590932746338,0.12133801923636164,2.426760384727233,0.9707041538908934
"['Coolant', 'Ambient', 'Pressure']",-37.44928208551008,-33.466352991294116,0.9920315950237487,0.9905375190907016,0.10305792148694352,2.0611584297388705,0.8244633718955483
"['Coolant', 'Throttle', 'Pressure']",-61.10874269988582,-57.12581360566986,0.9975587472892444,0.9971010124059778,0.03157349945750337,0.6314699891500675,0.252587995660027
"['Ambient', 'Throttle', 'Pressure']",-61.10971918478042,-57.126790090564455,0.9975588664786545,0.9971011539434023,0.031571957942870835,0.6314391588574166,0.2525756635429667
"['RPM', 'Load', 'Coolant', 'Ambient']",-59.076003420291386,-54.097342052521434,0.9975547477738533,0.9969026805135476,0.03162522646490218,0.6325045292980436,0.3162522646490218
"['RPM', 'Load', 'Coolant', 'Throttle']",-60.73483192421372,-55.75617055644377,0.9977493774825117,0.9971492114778482,0.02910801840460448,0.5821603680920896,0.29108018404604474
"['RPM', 'Load', 'Coolant', 'Pressure']",-62.97477455404537,-57.996113186275416,0.9979878380905435,0.9974512615813551,0.026023931351610425,0.5204786270322085,0.2602393135161042
"['RPM', 'Load', 'Ambient', 'Throttle']",-60.87653246428776,-55.89787109651781,0.9977652668490603,0.9971693380088097,0.02890251616229434,0.5780503232458868,0.28902516162294345
"['RPM', 'Load', 'Ambient', 'Pressure']",-63.21387415630973,-58.235212788539776,0.9980117502268029,0.9974815502872837,0.025714668071373493,0.5142933614274698,0.2571466807137349
"['RPM', 'Load', 'Throttle', 'Pressure']",-70.81902395517108,-65.84036258740112,0.9986406627689681,0.998278172840693,0.017580741697677607,0.35161483395355214,0.1758074169767761
"['RPM', 'Coolant', 'Ambient', 'Throttle']",-36.60771047957742,-31.62904911180747,0.9924800241642904,0.9904746972747678,0.09725824447553055,1.945164889510611,0.9725824447553055
"['RPM', 'Coolant', 'Ambient', 'Pressure']",-50.043187713889935,-45.06452634611998,0.9961587836935997,0.9951344593452263,0.04967967487837274,0.9935934975674549,0.49679674878372737
"['RPM', 'Coolant', 'Throttle', 'Pressure']",-59.22648385021833,-54.24782248244838,0.997573076863466,0.9969258973603903,0.03138817050654484,0.6277634101308968,0.3138817050654483
"['RPM', 'Ambient', 'Throttle', 'Pressure']",-59.23715832669666,-54.258496958926706,0.9975743718245562,0.9969275376444379,0.0313714223619958,0.627428447239916,0.31371422361995804
"['Load', 'Coolant', 'Ambient', 'Throttle']",-56.75555861435299,-51.77689724658304,0.9972539307709968,0.9965216456432626,0.03551578864826582,0.7103157729653164,0.35515788648265834
"['Load', 'Coolant', 'Ambient', 'Pressure']",-46.769863687820134,-41.79120232005018,0.9954757344064677,0.9942692635815258,0.058513769030809924,1.1702753806161985,0.5851376903080994
"['Load', 'Coolant', 'Throttle', 'Pressure']",-70.74804992494361,-65.76938855717366,0.9986358303174894,0.9982720517354865,0.017643241332996763,0.35286482665993524,0.17643241332996762
"['Load', 'Ambient', 'Throttle', 'Pressure']",-70.71403977531318,-65.73537840754322,0.9986335085632174,0.9982691108467421,0.017673269321054928,0.35346538642109854,0.17673269321054924
"['Coolant', 'Ambient', 'Throttle', 'Pressure']",-59.109753955248394,-54.13109258747844,0.9975588707226186,0.996907902915317,0.03157190305433092,0.6314380610866184,0.3157190305433092
"['RPM', 'Load', 'Coolant', 'Ambient', 'Throttle']",-58.876540846526126,-52.90214720520218,0.9977652677856634,0.9969671491376861,0.02890250404890789,0.5780500809781578,0.3468300485868947
"['RPM', 'Load', 'Coolant', 'Ambient', 'Pressure']",-62.09525191905044,-56.1208582777265,0.9980974675775228,0.9974179917123525,0.02460605825210759,0.49212116504215175,0.2952726990252911
"['RPM', 'Load', 'Coolant', 'Throttle', 'Pressure']",-68.88264193900928,-62.90824829768533,0.9986449798139854,0.9981610440332659,0.017524907978412205,0.3504981595682441,0.21029889574094646
"['RPM', 'Load', 'Ambient', 'Throttle', 'Pressure']",-68.81906404987626,-62.84467040855232,0.9986406654940767,0.9981551888848184,0.017580706452980183,0.35161412905960365,0.2109684774357622
"['RPM', 'Coolant', 'Ambient', 'Throttle', 'Pressure']",-57.23921754483558,-51.26482390351164,0.9975746215565765,0.9967084149696396,0.03136819249817492,0.6273638499634985,0.3764183099780991
"['Load', 'Coolant', 'Ambient', 'Throttle', 'Pressure']",-68.75610189203202,-62.78170825070808,0.9986363794194175,0.9981493720692095,0.017636139622733818,0.35272279245467636,0.21163367547280582
